"DateTime";"Imobiliário"
"2014-04-30";19255189624,91
"2014-05-31";19592861692,3
"2014-06-30";19925201876,61
"2014-07-31";20317443258,61
"2014-08-31";20702542856,64
"2014-09-30";21080325641,85
"2014-10-31";21550019993,1
"2014-11-30";21978400836,71
"2014-12-31";22426803153,54
"2015-01-31";22811476183,94
"2015-02-28";23159406477,98
"2015-03-31";23604460983,33
"2015-04-30";24000332266,59
"2015-05-31";24409839050,73
"2015-06-30";24817168024,47
"2015-07-31";25248844963,03
"2015-08-31";25650186987,21
"2015-09-30";26075924952,54
"2015-10-31";26421660858,4
"2015-11-30";26802395676,54
"2015-12-31";27210293405,89
"2016-01-31";27467821521,98
"2016-02-29";27726678424,79
"2016-03-31";28024393124,16
"2016-04-30";28335129044,49
"2016-05-31";28594190602,23
"2016-06-30";28883853555,62
"2016-07-31";29165904670,48
"2016-08-31";29474160694,95
"2016-09-30";29714517806,16
"2016-10-31";29970018681,17
"2016-11-30";30021021068,39
"2016-12-31";30484795158,57
"2017-01-31";30611386705,88
"2017-02-28";30927448569,27
"2017-03-31";31358982702,93
"2017-04-30";31580483102,18
"2017-05-31";31846537208,66
"2017-06-30";32105261807,64
"2017-07-31";32407732359,04
"2017-08-31";32720606945,84
"2017-09-30";32907499780,29
"2017-10-31";33110512901,38
"2017-11-30";33425281695,39
"2017-12-31";33649850429,21
"2018-01-31";33706120907,02
"2018-02-28";34107444831,37
"2018-03-31";34384383646,03
"2018-04-30";34650951289,43
"2018-05-31";34908926087,01
"2018-06-30";35185479475,05
"2018-07-31";35455186307,18
"2018-08-31";35765171399,02
"2018-09-30";35999621032,62
"2018-10-31";36337262323,05
"2018-11-30";36624680784,33
"2018-12-31";36878798430,47
"2019-01-31";43931441106,05
"2019-02-28";44195302177,34
"2019-03-31";44447955971,9
"2019-04-30";44736299957,23
"2019-05-31";44998904131,87
"2019-06-30";45350448468,81
"2019-07-31";45813289465,21
"2019-08-31";46800436338,31
"2019-09-30";46950605700,47
"2019-10-31";47296252884,21
"2019-11-30";47693029713
"2019-12-31";47903307606,38
"2020-01-31";47916587779,58
"2020-02-29";48218881495,8
"2020-03-31";48334275499,85
"2020-04-30";48883554406,29
"2020-05-31";49449496702,53
"2020-06-30";50067997026,86
"2020-07-31";50651381827,39
"2020-08-31";51060286364,23
"2020-09-30";51522896926,57
"2020-10-31";52018496842,57
"2020-11-30";52619100699,77
"2020-12-31";53343323835,05