Data;ICST Sem ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416229);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232)
01/2014;99,600;97,800
02/2014;98,400;96,700
03/2014;97,100;96,300
04/2014;92,900;92,600
05/2014;95,200;94,600
06/2014;92,800;93,100
07/2014;91,200;91,600
08/2014;91,700;92,000
09/2014;89,500;90,500
10/2014;86,400;88,000
11/2014;86,100;87,500
12/2014;87,800;88,500
01/2015;86,100;84,500
02/2015;82,000;80,500
03/2015;77,400;76,700
04/2015;77,300;77,100
05/2015;75,200;74,700
06/2015;76,400;76,700
07/2015;72,600;73,000
08/2015;72,500;72,800
09/2015;69,300;70,500
10/2015;67,200;68,900
11/2015;68,700;70,300
12/2015;68,700;69,600
01/2016;68,500;66,900
02/2016;69,100;67,600
03/2016;67,900;67,100
04/2016;67,200;66,900
05/2016;69,200;68,800
06/2016;68,500;68,900
07/2016;70,100;70,600
08/2016;72,600;72,900
09/2016;73,300;74,300
10/2016;72,800;74,400
11/2016;71,300;72,900
12/2016;70,700;71,700
01/2017;75,600;73,900
02/2017;75,300;73,900
03/2017;75,500;74,700
04/2017;76,400;76,200
05/2017;74,600;74,100
06/2017;74,200;74,600
07/2017;74,200;74,700
08/2017;76,100;76,500
09/2017;76,700;77,800
10/2017;76,600;78,200
11/2017;77,500;79,100
12/2017;80,000;80,800
01/2018;83,400;81,800
02/2018;82,100;80,600
03/2018;82,500;81,700
04/2018;82,300;82,000
05/2018;82,900;82,300
06/2018;79,300;79,700
07/2018;80,900;81,300
08/2018;79,300;79,600
09/2018;79,800;80,900
10/2018;81,000;82,500
11/2018;83,700;85,300
12/2018;84,300;85,200
01/2019;86,100;84,500
02/2019;85,800;84,300
03/2019;82,900;82,100
04/2019;82,800;82,500
05/2019;81,200;80,700
06/2019;82,800;83,100
07/2019;85,300;85,600
08/2019;87,400;87,600
09/2019;86,600;87,600
10/2019;86,600;88,200
11/2019;87,900;89,400
12/2019;91,300;92,100
01/2020;95,800;94,200
02/2020;94,300;92,800
03/2020;91,600;90,800
04/2020;65,200;65,000
05/2020;68,400;68,000
06/2020;76,800;77,100
07/2020;83,200;83,700
08/2020;87,500;87,800
09/2020;90,500;91,500
10/2020;93,700;95,200
11/2020;92,200;93,800
12/2020;93,100;93,900