"DateTime";"SFH";"FGTS";"Livre";"Comercial";"Home equity"
"2014-04-30";8,97;5,48;9,27;9,99;18,89
"2014-05-31";9,02;5,46;9,27;9,75;19,07
"2014-06-30";9,04;5,41;9,2;9,82;19,75
"2014-07-31";9,21;5,64;9,55;10,51;19,35
"2014-08-31";9,09;5,52;9,28;9,9;19,04
"2014-09-30";9,17;5,57;9,37;10,07;18,96
"2014-10-31";9,3;5,62;9,64;11,63;18,39
"2014-11-30";9,08;5,48;9,17;9,94;19,01
"2014-12-31";9,23;5,56;9,49;10,41;18,89
"2015-01-31";9,18;5,58;9,41;10,32;19,45
"2015-02-28";9,12;5,43;9,2;11,09;19,54
"2015-03-31";9,54;5,6;10,2;12,12;20,07
"2015-04-30";9,46;5,64;10,16;12,11;19,69
"2015-05-31";10,03;5,65;10,74;12,5;20,28
"2015-06-30";10,83;5,71;11,62;13,15;20,52
"2015-07-31";11,09;5,75;12,15;13,86;20,69
"2015-08-31";10,74;5,66;11,9;13,63;20,77
"2015-09-30";12,11;7,86;12,52;14,03;22,6
"2015-10-31";12,06;7,69;12,54;13,95;23,12
"2015-11-30";11,66;7,14;12,03;14,1;22,87
"2015-12-31";12,58;8,14;13,42;15,17;23,88
"2016-01-31";11,63;7,27;12,52;14,32;22,83
"2016-02-29";11,24;7,1;12,06;13,94;22,48
"2016-03-31";12,53;8,54;13,99;15,26;23,67
"2016-04-30";11,51;7,66;13,06;14,45;23,4
"2016-05-31";11,68;8,14;13,34;14,71;23,61
"2016-06-30";12,23;8,71;14,1;15,45;23,02
"2016-07-31";11,95;8,34;13,63;15,2;23,26
"2016-08-31";12,96;9,32;14,59;15,95;24,53
"2016-09-30";12,5;8,33;13,47;14,84;23,15
"2016-10-31";12,69;8,44;13,67;15,15;23,67
"2016-11-30";12,83;8,19;13,53;14,77;24,02
"2016-12-31";13,18;8,48;13,81;15,02;23,4
"2017-01-31";12,95;8,38;13,62;14,74;23,52
"2017-02-28";11,26;6,79;11,75;13,2;22,7
"2017-03-31";12,59;7,95;12,96;14,52;22,68
"2017-04-30";10,72;6,17;11,25;12,67;21,65
"2017-05-31";11,67;7,08;12,09;13,61;21,57
"2017-06-30";11,41;6,87;11,8;13,43;19,6
"2017-07-31";11,51;6,95;11,89;13,31;19,14
"2017-08-31";11,18;6,74;11,1;13;19,41
"2017-09-30";10,38;6,15;10,34;12,25;19
"2017-10-31";10,27;5,97;10,22;12,25;18,27
"2017-11-30";9,86;5,86;10,05;12,39;17,94
"2017-12-31";9,81;5,82;9,86;12,4;17,88
"2018-01-31";9,85;5,95;9,82;12,36;17,73
"2018-02-28";9,85;6,02;9,87;12,48;17,46
"2018-03-31";9,81;5,99;9,86;12,07;17,57
"2018-04-30";9,67;5,97;9,72;12,13;17,45
"2018-05-31";9,54;5,98;9,58;11,82;17,26
"2018-06-30";9,47;5,99;9,48;11,62;17,31
"2018-07-31";9,4;6,03;9,46;11,77;17,49
"2018-08-31";9,4;6,01;9,31;11,83;17,49
"2018-09-30";9,33;5,99;9,23;11,93;17,75
"2018-10-31";9,34;5,98;9,12;11,74;17,79
"2018-11-30";9,33;6,15;9,17;11,49;17,98
"2018-12-31";9,34;6,12;9,21;11,6;17,59
"2019-01-31";9,21;6,17;9,08;11,41;17,55
"2019-02-28";9,25;6,06;9,02;11,35;17,45
"2019-03-31";9,33;6,09;8,85;11,4;17,39
"2019-04-30";9,28;6,18;8,75;10,23;17,63
"2019-05-31";9,29;6,18;8,8;10,23;16,94
"2019-06-30";9,22;6,12;8,75;9,86;16,61
"2019-07-31";9,03;6,15;8,54;10,21;16,38
"2019-08-31";8,89;7,31;8,41;11,22;16,16
"2019-09-30";8,76;6,14;8,34;11,07;16,15
"2019-10-31";8,47;6,04;7,91;10,45;15,74
"2019-11-30";8,22;6,09;7,85;10,26;15,6
"2019-12-31";8,31;6,08;7,7;10,71;15,44
"2020-01-31";8,17;6,24;7,66;10,17;14,96
"2020-02-29";8,15;6,23;7,57;10,03;14,75
"2020-03-31";7,97;6,04;7,51;10,33;14,41
"2020-04-30";7,84;6,11;7,55;10,32;14,84
"2020-05-31";7,92;6,09;7,48;10,15;15,58
"2020-06-30";7,86;6,1;7,47;9,57;14,66
"2020-07-31";7,71;6,12;7,37;9,87;14,07
"2020-08-31";7,64;6,14;7,3;9,53;14,3
"2020-09-30";7,67;6,13;7,4;9,44;13,28
"2020-10-31";7,64;6,09;7,48;9,54;13,16
"2020-11-30";7,69;6,07;7,45;9,68;12,73
"2020-12-31";7,71;6,02;7,51;9,62;12,34