MES,TOTAL,AUTOMAÇÃO INDUSTRIAL   (1),COMPONENTES ELÉTRICOS E ELETRÔNICOS   (2),EQUIPAMENTOS INDUSTRIAIS,"GERAÇÃO, TRANSMISSÃO E  DISTRIBUIÇÃO DE ENERGIA ELÉTRICA",INFORMÁTICA,MATERIAL ELÉTRICO DE INSTALAÇÃO,TELECOMUNICAÇÕES,UTILIDADES DOMÉSTICAS   (3),,,,,,,,,,,,,,,,,,,,
Jan-14,494.2,40.6,227.4,84.5,85.3,16.7,6.9,14.3,18.5,,,,,,,,,,,,,,,,,,,,
Feb-14,535.4,47.0,254.4,101.8,51.5,29.5,7.3,20.9,22.9,,,,,,,,,,,,,,,,,,,,
Mar-14,556.8,52.4,233.8,138.8,50.0,21.0,7.8,27.9,25.2,,,,,,,,,,,,,,,,,,,,
Apr-14,548.1,38.2,238.0,110.1,89.8,21.7,6.8,16.8,26.7,,,,,,,,,,,,,,,,,,,,
May-14,615.7,44.6,265.9,111.7,105.8,22.6,9.9,27.9,27.2,,,,,,,,,,,,,,,,,,,,
Jun-14,548.7,49.5,242.4,111.8,64.7,23.7,6.4,30.7,19.5,,,,,,,,,,,,,,,,,,,,
Jul-14,619.1,52.9,275.2,124.3,89.2,25.0,7.4,21.7,23.4,,,,,,,,,,,,,,,,,,,,
Aug-14,539.9,52.1,234.3,139.4,41.6,20.8,7.5,18.7,25.4,,,,,,,,,,,,,,,,,,,,
Sep-14,549.9,46.6,240.0,122.7,47.4,36.5,8.7,23.2,24.7,,,,,,,,,,,,,,,,,,,,
Oct-14,552.5,47.6,257.6,115.0,51.5,25.1,5.5,21.7,28.6,,,,,,,,,,,,,,,,,,,,
Nov-14,482.4,49.2,207.1,95.5,49.4,27.5,11.3,20.5,21.9,,,,,,,,,,,,,,,,,,,,
Dec-14,509.6,43.1,203.5,113.9,63.8,29.1,12.1,18.8,25.4,,,,,,,,,,,,,,,,,,,,
Jan-15,383.9,34.5,190.4,65.1,35.9,15.8,6.5,19.0,16.6,,,,,,,,,,,,,,,,,,,,
Feb-15,424.2,30.4,192.5,89.4,35.9,23.5,9.3,17.6,25.7,,,,,,,,,,,,,,,,,,,,
Mar-15,565.5,52.7,272.1,124.2,33.1,25.0,8.7,24.9,24.9,,,,,,,,,,,,,,,,,,,,
Apr-15,493.3,35.8,223.4,111.2,54.0,15.5,7.9,20.1,25.5,,,,,,,,,,,,,,,,,,,,
May-15,481.2,40.7,226.6,99.1,45.6,13.5,9.6,19.2,26.8,,,,,,,,,,,,,,,,,,,,
Jun-15,466.7,39.5,232.9,93.5,27.6,19.8,10.5,20.4,22.5,,,,,,,,,,,,,,,,,,,,
Jul-15,553.3,43.1,269.0,99.8,65.5,25.9,8.1,19.7,22.0,,,,,,,,,,,,,,,,,,,,
Aug-15,476.4,39.7,235.4,74.1,60.2,21.9,10.6,14.2,20.2,,,,,,,,,,,,,,,,,,,,
Sep-15,488.2,50.2,230.9,76.2,52.9,24.9,8.4,22.8,21.9,,,,,,,,,,,,,,,,,,,,
Oct-15,476.9,38.8,225.6,97.7,45.2,26.3,7.4,15.6,20.3,,,,,,,,,,,,,,,,,,,,
Nov-15,569.4,41.2,181.3,245.7,29.6,29.6,7.0,15.1,20.1,,,,,,,,,,,,,,,,,,,,
Dec-15,533.1,48.1,205.5,83.5,119.3,25.2,10.6,15.3,25.4,,,,,,,,,,,,,,,,,,,,
Jan-16,401.2,34.1,146.7,147.1,20.6,21.4,6.5,10.8,14.0,,,,,,,,,,,,,,,,,,,,
Feb-16,419.5,39.8,199.2,71.1,42.0,29.0,6.5,13.8,18.0,,,,,,,,,,,,,,,,,,,,
Mar-16,640.0,39.9,216.0,229.4,72.0,33.4,7.9,18.5,22.9,,,,,,,,,,,,,,,,,,,,
Apr-16,427.1,39.7,205.8,72.0,43.2,24.4,6.7,14.6,20.8,,,,,,,,,,,,,,,,,,,,
May-16,504.3,39.1,214.7,96.4,60.3,41.5,8.0,22.1,22.2,,,,,,,,,,,,,,,,,,,,
Jun-16,452.4,43.1,199.2,81.4,41.0,32.4,10.1,22.2,23.1,,,,,,,,,,,,,,,,,,,,
Jul-16,431.7,45.1,209.3,66.3,37.0,28.0,8.3,16.9,20.8,,,,,,,,,,,,,,,,,,,,
Aug-16,483.6,45.0,238.2,79.3,43.7,29.2,7.9,18.3,22.0,,,,,,,,,,,,,,,,,,,,
Sep-16,470.0,52.1,218.0,84.1,42.9,27.8,11.8,13.6,19.6,,,,,,,,,,,,,,,,,,,,
Oct-16,426.4,43.9,190.2,74.6,54.7,23.1,7.2,11.5,21.0,,,,,,,,,,,,,,,,,,,,
Nov-16,435.4,43.2,213.4,67.0,46.0,25.2,7.1,12.6,20.9,,,,,,,,,,,,,,,,,,,,
Dec-16,523.4,42.8,240.7,86.6,72.1,33.5,6.8,20.2,20.5,,,,,,,,,,,,,,,,,,,,
Jan-17,349.1,37.0,164.7,55.1,34.7,15.9,9.2,16.4,16.2,,,,,,,,,,,,,,,,,,,,
Feb-17,405.9,36.3,175.8,66.4,62.7,19.4,4.8,19.0,21.4,,,,,,,,,,,,,,,,,,,,
Mar-17,683.7,44.7,234.3,256.1,51.4,35.9,9.4,26.7,25.1,,,,,,,,,,,,,,,,,,,,
Apr-17,421.9,36.2,199.1,84.0,33.3,26.1,7.0,15.4,20.8,,,,,,,,,,,,,,,,,,,,
May-17,465.5,41.1,233.0,85.5,39.9,23.6,6.0,14.1,22.4,,,,,,,,,,,,,,,,,,,,
Jun-17,473.9,42.3,217.9,78.9,63.1,24.7,9.2,16.2,21.7,,,,,,,,,,,,,,,,,,,,
Jul-17,457.2,41.6,208.9,80.5,52.9,26.4,5.6,16.8,24.3,,,,,,,,,,,,,,,,,,,,
Aug-17,508.2,44.4,244.3,93.0,43.6,29.0,7.4,21.3,25.2,,,,,,,,,,,,,,,,,,,,
Sep-17,534.5,52.0,225.0,106.6,69.5,35.9,7.3,16.4,21.8,,,,,,,,,,,,,,,,,,,,
Oct-17,509.0,46.6,224.5,95.0,54.2,32.7,7.7,23.4,24.8,,,,,,,,,,,,,,,,,,,,
Nov-17,498.7,55.0,216.4,91.7,59.3,32.4,6.3,14.4,23.2,,,,,,,,,,,,,,,,,,,,
Dec-17,536.9,47.9,231.8,100.2,59.0,37.9,6.5,28.5,25.1,,,,,,,,,,,,,,,,,,,,
Jan-18,418.1,51.7,202.2,54.9,36.2,30.6,4.5,18.2,19.8,,,,,,,,,,,,,,,,,,,,
Feb-18,430.3,41.0,212.2,72.2,34.9,31.2,3.9,16.4,18.5,,,,,,,,,,,,,,,,,,,,
Mar-18,530.9,49.7,243.1,102.6,54.0,32.7,8.7,15.6,24.5,,,,,,,,,,,,,,,,,,,,
Apr-18,553.1,50.0,218.2,82.7,116.1,31.6,5.5,20.5,28.5,,,,,,,,,,,,,,,,,,,,
May-18,382.0,45.8,191.1,57.3,29.4,26.1,3.7,12.4,16.1,,,,,,,,,,,,,,,,,,,,
Jun-18,483.0,44.0,221.6,91.4,42.7,40.9,5.5,16.1,20.8,,,,,,,,,,,,,,,,,,,,
Jul-18,404.4,37.7,179.6,80.1,37.7,27.6,4.9,12.9,23.9,,,,,,,,,,,,,,,,,,,,
Aug-18,686.8,57.6,244.1,251.5,50.5,31.2,6.3,22.2,23.5,,,,,,,,,,,,,,,,,,,,
Sep-18,471.1,50.6,211.4,95.1,34.9,34.4,5.8,20.2,18.8,,,,,,,,,,,,,,,,,,,,
Oct-18,542.5,57.1,268.4,87.6,34.6,37.5,8.3,25.2,23.8,,,,,,,,,,,,,,,,,,,,
Nov-18,498.4,58.4,207.0,88.6,58.4,32.6,6.2,26.0,21.2,,,,,,,,,,,,,,,,,,,,
Dec-18,459.4,55.6,193.1,90.1,37.1,33.0,6.0,21.5,23.0,,,,,,,,,,,,,,,,,,,,
Jan-19,386.9,49.0,180.6,57.7,34.2,25.0,8.0,17.5,14.9,,,,,,,,,,,,,,,,,,,,
Feb-19,424.8,49.3,193.2,79.8,29.0,27.0,4.5,23.4,18.5,,,,,,,,,,,,,,,,,,,,
Mar-19,455.3,54.2,210.0,78.6,31.8,32.6,5.7,23.1,19.2,,,,,,,,,,,,,,,,,,,,
Apr-19,503.2,68.9,219.3,93.3,35.5,24.6,8.8,31.3,21.5,,,,,,,,,,,,,,,,,,,,
May-19,490.2,62.2,216.7,93.5,36.3,30.0,5.2,22.2,24.1,,,,,,,,,,,,,,,,,,,,
Jun-19,498.4,53.0,224.8,94.7,44.9,31.3,4.9,24.9,19.9,,,,,,,,,,,,,,,,,,,,
Jul-19,539.3,67.7,246.0,89.0,53.2,28.7,5.5,26.5,22.8,,,,,,,,,,,,,,,,,,,,
Aug-19,513.2,63.6,225.2,102.0,42.6,25.1,5.6,26.3,22.9,,,,,,,,,,,,,,,,,,,,
Sep-19,476.3,48.8,216.7,90.1,39.0,17.3,4.6,36.5,23.2,,,,,,,,,,,,,,,,,,,,
Oct-19,486.7,55.8,191.3,86.8,83.6,16.4,8.0,19.9,24.9,,,,,,,,,,,,,,,,,,,,
Nov-19,441.1,47.9,185.6,88.6,54.7,13.9,4.4,21.1,25.0,,,,,,,,,,,,,,,,,,,,
Dec-19,415.7,50.0,164.1,86.1,49.8,16.0,4.3,20.9,24.4,,,,,,,,,,,,,,,,,,,,
Jan-20,350.0,29.0,170.8,57.8,36.9,14.6,2.6,21.2,17.3,,,,,,,,,,,,,,,,,,,,
Feb-20,392.6,28.0,176.8,88.6,49.5,9.7,3.6,18.0,18.4,,,,,,,,,,,,,,,,,,,,
Mar-20,402.9,26.4,175.0,81.0,62.1,13.4,4.3,19.8,20.9,,,,,,,,,,,,,,,,,,,,
Apr-20,306.5,25.4,135.0,53.8,52.9,11.5,3.1,11.8,13.1,,,,,,,,,,,,,,,,,,,,
May-20,337.1,23.7,150.3,62.5,53.5,15.8,3.1,12.8,15.2,,,,,,,,,,,,,,,,,,,,
Jun-20,325.3,29.1,140.1,52.1,32.3,15.6,3.4,36.1,16.6,,,,,,,,,,,,,,,,,,,,
Jul-20,412.9,29.2,167.9,62.8,91.2,20.1,2.5,21.5,17.8,,,,,,,,,,,,,,,,,,,,
Aug-20,361.5,27.5,172.6,74.0,33.4,13.2,3.0,18.7,19.1,,,,,,,,,,,,,,,,,,,,
Sep-20,408.1,28.0,164.7,61.7,75.1,17.6,3.5,29.3,28.2,,,,,,,,,,,,,,,,,,,,
Oct-20,363.4,26.0,167.2,74.3,37.0,15.7,4.5,16.6,22.0,,,,,,,,,,,,,,,,,,,,
Nov-20,376.4,31.9,170.0,87.5,27.8,12.5,4.0,17.5,25.2,,,,,,,,,,,,,,,,,,,,
Dec-20,440.7,38.2,179.6,83.7,50.9,28.4,5.2,27.9,26.9,,,,,,,,,,,,,,,,,,,,
